Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,17.600000,17.730000,17.547501,17.629999,16.382113,25710000
2011-01-04,17.732500,17.737499,17.565001,17.650000,16.400690,18138000
2011-01-05,17.709999,18.082500,17.670000,18.022499,16.746819,38512800
2011-01-06,18.182501,18.387501,18.127501,18.292500,16.997713,28358800
2011-01-07,18.360001,18.387501,18.125000,18.240000,16.948931,28248400
2011-01-10,18.174999,18.309999,17.945000,17.952499,16.681772,18202400
2011-01-11,18.012501,18.129999,17.887501,17.969999,16.698042,20593600
2011-01-12,18.000000,18.157499,17.997499,18.152500,16.867622,18545200
2011-01-13,18.282499,18.320000,17.730000,17.785000,16.526136,28109600
2011-01-14,17.817499,17.887501,17.684999,17.780001,16.521492,25165600
2011-01-18,17.817499,17.837500,17.684999,17.802500,16.542391,19341600
2011-01-19,17.740000,17.760000,17.112499,17.280001,16.056883,42852800
2011-01-20,17.172501,17.885000,16.877501,17.672501,16.421591,81365200
2011-01-21,17.627501,17.750000,17.477501,17.537500,16.296152,24783600
2011-01-24,17.557501,17.957500,17.545000,17.947500,16.677137,22922000
2011-01-25,17.792500,18.094999,17.577499,17.895000,16.628345,30279600
2011-01-26,17.975000,18.035000,17.737499,17.750000,16.493610,17839600
2011-01-27,17.764999,17.805000,17.627501,17.650000,16.400690,19417200
2011-01-28,17.700001,17.732500,17.355000,17.365000,16.135862,25048400
2011-01-31,17.475000,17.590000,17.337500,17.462500,16.226460,24602800
2011-02-01,17.552500,17.932501,17.552500,17.674999,16.423914,25448800
2011-02-02,17.767500,18.022499,17.687500,18.022499,16.746819,27162400
2011-02-03,17.932501,18.120001,17.750000,17.907499,16.639965,33462800
2011-02-04,17.995001,18.250000,17.900000,18.225000,16.934990,28833600
2011-02-07,18.245001,18.535000,18.230000,18.482500,17.174257,22240400
2011-02-08,18.492500,18.645000,18.455000,18.642500,17.322939,15376000
2011-02-09,18.445000,18.680000,18.275000,18.320000,17.057573,18674400
2011-02-10,18.225000,18.787500,18.225000,18.684999,17.397427,24752400
2011-02-11,18.650000,18.782499,18.570000,18.732500,17.441650,17280400
2011-02-14,18.747499,19.235001,18.625000,18.934999,17.630201,28970800
2011-02-15,18.927500,18.977501,18.772499,18.902500,17.599943,15855200
2011-02-16,18.934999,19.052500,18.865000,18.990000,17.681408,20147200
2011-02-17,18.937500,19.180000,18.862499,19.035000,17.723307,23475600
2011-02-18,19.145000,19.270000,18.892500,18.957500,17.651148,26009600
2011-02-22,18.584999,18.775000,18.277500,18.434999,17.164656,31588800
2011-02-23,18.410000,18.637501,18.195000,18.219999,16.964466,28714800
2011-02-24,18.165001,18.559999,18.157499,18.477501,17.204229,19613200
2011-02-25,18.545000,18.850000,18.545000,18.670000,17.383463,24869600
2011-02-28,18.715000,18.817499,18.257500,18.262501,17.004036,24857200
2011-03-01,18.467501,18.719999,18.127501,18.174999,16.922571,26993600
2011-03-02,18.145000,18.555000,18.127501,18.492500,17.218193,21544000
2011-03-03,18.674999,18.975000,18.639999,18.957500,17.651148,20388000
2011-03-04,18.965000,18.985001,18.504999,18.672501,17.385790,19520000
2011-03-07,18.650000,18.805000,18.500000,18.537500,17.260092,18637200
2011-03-08,18.612499,18.727501,18.327499,18.542500,17.264746,33497600
2011-03-09,18.600000,18.665001,18.325001,18.427500,17.157667,17861600
2011-03-10,18.330000,18.330000,17.807501,17.850000,16.619965,28557600
2011-03-11,17.844999,18.195000,17.805000,18.127501,16.878342,17335600
2011-03-14,17.975000,18.182501,17.907499,17.965000,16.727041,13971600
2011-03-15,17.725000,17.950001,17.612499,17.799999,16.573418,24180400
2011-03-16,17.855000,17.987499,17.670000,17.740000,16.517546,24056800
2011-03-17,17.897499,18.000000,17.782499,17.857500,16.626949,13790400
2011-03-18,18.030001,18.035000,17.730000,17.855000,16.624617,25268400
2011-03-21,17.959999,18.080000,17.907499,17.990000,16.750317,14807600
2011-03-22,17.950001,17.990000,17.799999,17.900000,16.666521,15354400
2011-03-23,17.837500,18.092501,17.837500,17.997499,16.757299,17580000
2011-03-24,18.055000,18.212500,17.885000,18.165001,16.913260,20558800
2011-03-25,18.120001,18.227501,18.012501,18.022499,16.780575,29466800
2011-03-28,18.097500,18.275000,17.990000,18.187500,16.934208,23174800
2011-03-29,18.090000,18.117500,17.937500,18.049999,16.806183,23558400
2011-03-30,18.485001,18.834999,18.417500,18.557501,17.278713,59673200
2011-03-31,18.627501,18.730000,18.400000,18.405001,17.136723,18555200
2011-04-01,18.497499,18.617500,18.315001,18.555000,17.276382,17270000
2011-04-04,18.547501,18.812500,18.510000,18.809999,17.513813,15529200
2011-04-05,18.795000,18.980000,18.700001,18.905001,17.602262,18078800
2011-04-06,18.927500,19.000000,18.882500,19.000000,17.690720,18132000
2011-04-07,19.027500,19.137501,18.930000,19.102501,17.786152,22079200
2011-04-08,19.205000,19.430000,19.080000,19.180000,17.858318,23977200
2011-04-11,19.200001,19.440001,19.174999,19.427500,18.088762,19004400
2011-04-12,19.230000,19.395000,19.192499,19.257500,17.930470,20512000
2011-04-13,19.340000,19.497499,19.299999,19.375000,18.039881,18258400
2011-04-14,19.285000,19.315001,19.040001,19.077499,17.762878,18609200
2011-04-15,19.117500,19.250000,19.014999,19.117500,17.800125,20256000
2011-04-18,18.895000,19.075001,18.862499,18.920000,17.616232,15332000
2011-04-19,18.872499,18.995001,18.790001,18.980000,17.672094,14261200
2011-04-20,19.152500,19.477501,19.102501,19.342501,18.009617,14838400
2011-04-21,19.340000,19.495001,19.262501,19.442499,18.102730,10989600
2011-04-25,19.442499,19.467501,19.325001,19.440001,18.100405,7126400
2011-04-26,19.450001,19.750000,19.350000,19.692499,18.335497,15200000
2011-04-27,19.700001,19.742500,19.472500,19.722500,18.363436,8982400
2011-04-28,19.709999,19.709999,19.387501,19.415001,18.077127,11416000
2011-04-29,19.424999,19.612499,19.389999,19.530001,18.184200,10877600
2011-05-02,19.615000,19.917500,19.615000,19.785000,18.421625,13503600
2011-05-03,19.907499,20.042500,19.825001,20.000000,18.621809,18944800
2011-05-04,19.962500,20.037500,19.762501,19.942499,18.568272,17334400
2011-05-05,19.775000,19.842501,19.549999,19.674999,18.319201,20991600
2011-05-06,19.625000,19.965000,19.567499,19.852501,18.484478,29754400
2011-05-09,19.782499,19.995001,19.760000,19.965000,18.589224,19093200
2011-05-10,19.992500,20.174999,19.930000,20.087500,18.703279,19706400
2011-05-11,20.055000,20.062500,19.737499,19.834999,18.468174,17667600
2011-05-12,19.772499,20.012501,19.770000,19.982500,18.605518,25078400
2011-05-13,20.000000,20.045000,19.924999,19.977501,18.600861,21474000
2011-05-16,19.787500,20.325001,19.780001,19.985001,18.607840,18763200
2011-05-17,19.950001,20.200001,19.937500,20.150000,18.761473,22112000
2011-05-18,20.107500,20.107500,19.870001,20.002501,18.658863,20127200
2011-05-19,20.032499,20.035000,19.852501,19.910000,18.572569,14941200
2011-05-20,19.834999,19.959999,19.557501,19.557501,18.243759,17216000
2011-05-23,19.272499,19.434999,19.150000,19.230000,17.938251,18258400
2011-05-24,19.252501,19.445000,19.165001,19.400000,18.096834,14828400
2011-05-25,19.240000,19.770000,19.152500,19.687500,18.365015,18002800
2011-05-26,19.642500,19.840000,19.410000,19.822500,18.490952,21110800
2011-05-27,19.665001,19.959999,19.592501,19.950001,18.609888,15344800
2011-05-31,20.004999,20.277500,20.002501,20.264999,18.903730,15274400
2011-06-01,20.190001,20.190001,19.795000,19.795000,18.465294,17732800
2011-06-02,19.797501,20.205000,19.787500,20.174999,18.819777,19466400
2011-06-03,19.952499,20.090000,19.740000,19.782499,18.453644,18954400
2011-06-06,19.750000,19.892500,19.537500,19.549999,18.236759,17628000
2011-06-07,19.700001,20.032499,19.629999,19.955000,18.614548,27764800
2011-06-08,19.672501,19.672501,18.592501,19.177500,17.889282,80785200
2011-06-09,19.070000,19.182501,18.969999,19.107500,17.823984,32074000
2011-06-10,19.052500,19.077499,18.637501,18.672501,17.418203,29456800
2011-06-13,18.712500,18.785000,18.575001,18.715000,17.457848,20820000
2011-06-14,18.777500,19.067499,18.707500,18.982500,17.707382,30033600
2011-06-15,18.885000,19.007500,18.702499,18.709999,17.453188,22775600
2011-06-16,18.700001,18.844999,18.594999,18.719999,17.462513,21041600
2011-06-17,18.852501,18.872499,18.549999,18.607500,17.357561,25859200
2011-06-20,18.570000,18.584999,18.410000,18.512501,17.268953,22546800
